name,category1,
Bee's Knees Supply Company,beer & wine,
Bell's Market,grocery,
Bfresh,grocery,
Bob's Grocery Store,grocery,
C Mart Supermarket,ethnic food,
City Target,deptstore,
Daily Table,grocery,
Deluca's Market,cheese,
Foodie's Urban Market,delis,
Foodies Urban Market,grocery,
Fort Point Market,beer & wine,
Fort Point Market,ice cream,
Going Bananas,fruits & veggies,
Golden Goose Market,beer & wine,
Gourmet Boutique,special food & gourmet,
Haymarket International Food Co,meats,
J Pace & Son,grocery,
Jia Ho Supermarket,special food & gourmet,
K & 8th Street Market,fruits & veggies,
Lambert's Marketplace,fruits & veggies,
Marlboro Market,beer & wine,
Ming's Supermarket,grocery,
Roche Bros,grocery,
Salumeria Italiana,grocery,
Shaw's Supermarket,grocery,
Shaws,grocery,
Snap Top Market,fruits & veggies,
South End Food Emporium,special food & gourmet,
South End Formaggio,cheese,
Star Market,grocery,
Stop & Shop,grocery,
Sun Sun Company,grocery,
Symphony Market,convenience,
The Five Seventy Market,sandwish,
Topshelf,convenience,
Trader Joe's,grocery,coffee & tea
Whole Foods Market,health market,
