id,address,city,cityNum,neighborhoods,postal_code,name,rating,review_count,price_range,cateNum,category1
fort-point-market-boston,369 Congress St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Fort Point Market,4.5,14,2,2,beer & wine
golden-goose-market-boston,179 Commercial St,Boston,0,[u'North End'],2109,Golden Goose Market,4,70,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
marlboro-market-boston-2,45 Massachusetts Ave,Boston,0,[u'Back Bay'],2115,Marlboro Market,4,33,2,2,beer & wine
bees-knees-supply-company-boston,12 Farnsworth St,Boston,0,"[u'Waterfront', u'South Boston']",2210,Bee's Knees Supply Company,3.5,121,3,2,beer & wine
